Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,CouncilCount,Price_per_sqm
Heidelberg,7/75 Rosanna Rd,2,h,490000.0,PI,Purplebricks,10/12/2016,10.6,3084.0,2.0,1.0,1.0,187.0,89.0,1980.0,Abbotsford,-37.7518,145.0698,Eastern Metropolitan,2890.0,627,1775.3623188405797
Heidelberg,13 Hodgson St,3,h,1110000.0,S,Nelson,12/11/2016,10.6,3084.0,3.0,1.0,2.0,600.0,190.0,1950.0,Abbotsford,-37.752,145.0722,Eastern Metropolitan,2890.0,627,1405.0632911392406
Heidelberg,13 Edgar St,3,h,750000.0,VB,Nelson,16/04/2016,10.6,3084.0,3.0,1.0,2.0,577.0,140.0,1955.0,Abbotsford,-37.7494,145.0703,Eastern Metropolitan,2890.0,627,1046.0251046025105
Heidelberg,50 Manton St,4,h,1115000.0,S,Miles,16/04/2016,10.6,3084.0,4.0,4.0,2.0,642.0,115.0,1950.0,Abbotsford,-37.7476,145.0676,Eastern Metropolitan,2890.0,627,1472.9194187582564
Heidelberg,35 Beverley Rd,3,h,1000000.0,S,Miles,16/07/2016,10.6,3084.0,3.0,2.0,1.0,422.0,171.0,1960.0,Abbotsford,-37.7518,145.0768,Eastern Metropolitan,2890.0,627,1686.3406408094436
Heidelberg,6 Bolden St,5,h,1401000.0,S,Nelson,19/11/2016,10.6,3084.0,5.0,2.0,2.0,580.0,222.0,1940.0,Abbotsford,-37.7539,145.0577,Eastern Metropolitan,2890.0,627,1746.8827930174564
Heidelberg,34 Martin St,4,h,1031000.0,S,Miles,22/05/2016,10.6,3084.0,4.0,1.0,1.0,570.0,140.0,1955.0,Abbotsford,-37.7523,145.0604,Eastern Metropolitan,2890.0,627,1452.112676056338
Heidelberg,2/172 Cape St,3,h,655000.0,PI,hockingstuart,23/04/2016,10.6,3084.0,3.0,2.0,2.0,175.0,3.0,1980.0,Abbotsford,-37.7514,145.0689,Eastern Metropolitan,2890.0,627,3679.775280898876
Heidelberg,10 Cleve Gr,3,h,1195000.0,S,Miles,24/09/2016,10.6,3084.0,3.0,1.0,1.0,662.0,159.0,1950.0,Abbotsford,-37.7507,145.062,Eastern Metropolitan,2890.0,627,1455.5420219244822
Heidelberg,1/14 Edgar St,3,h,850000.0,VB,Fletchers,24/09/2016,10.6,3084.0,3.0,2.0,2.0,285.0,171.0,2010.0,Abbotsford,-37.7491,145.0702,Eastern Metropolitan,2890.0,627,1864.0350877192982
Heidelberg,55 Hodgson St,3,h,1076000.0,S,Miles,24/09/2016,10.6,3084.0,3.0,1.0,2.0,674.0,159.0,1950.0,Abbotsford,-37.749,145.0731,Eastern Metropolitan,2890.0,627,1291.71668667467
Heidelberg,14 Scarborough Dr,4,h,1362000.0,S,Miles,24/09/2016,10.6,3084.0,4.0,2.0,2.0,635.0,115.0,1965.0,Abbotsford,-37.7446,145.0844,Eastern Metropolitan,2890.0,627,1816.0
Heidelberg,57 Martin St,3,h,1375000.0,S,Miles,25/02/2017,10.6,3084.0,3.0,1.0,1.0,639.0,115.0,1965.0,Abbotsford,-37.7502,145.0605,Eastern Metropolitan,2890.0,627,1823.6074270557028
Heidelberg,14 Adamson St,3,h,1400000.0,S,Miles,27/11/2016,10.6,3084.0,3.0,1.0,1.0,827.0,109.0,1952.0,Abbotsford,-37.74800000000001,145.0625,Eastern Metropolitan,2890.0,627,1495.7264957264956
Heidelberg,175 Cape St,3,h,1455000.0,PI,Barry,30/07/2016,10.6,3084.0,4.0,1.0,4.0,836.0,109.0,1905.0,Abbotsford,-37.7509,145.0679,Eastern Metropolitan,2890.0,627,1539.6825396825398
Heidelberg,34 Quinn St,3,h,1125000.0,VB,Ray,30/07/2016,10.6,3084.0,3.0,1.0,2.0,0.0,125.0,1950.0,Abbotsford,-37.7502,145.0718,Eastern Metropolitan,2890.0,627,9000.0
Heidelberg,47 Beverley Rd,4,h,1450000.0,PI,Miles,6/05/2017,10.6,3084.0,4.0,3.0,2.0,952.0,136.0,1967.0,Abbotsford,-37.7511,145.0772,Eastern Metropolitan,2890.0,627,1332.7205882352941
Heidelberg,74 Brown St,3,h,1340000.0,S,Darren,8/04/2017,10.6,3084.0,3.0,2.0,0.0,600.0,190.0,1950.0,Abbotsford,-37.7523,145.0676,Eastern Metropolitan,2890.0,627,1696.2025316455697
Heidelberg,29 Martin St,3,h,1271000.0,S,Fletchers,22/04/2017,10.6,3084.0,3.0,2.0,2.0,330.0,171.0,2008.0,Abbotsford,-37.7524,145.06,Eastern Metropolitan,2890.0,627,2536.9261477045907
Heidelberg,57 Quinn St,4,h,1230000.0,S,Nelson,17/06/2017,8.9,3084.0,4.0,1.0,2.0,630.0,237.0,1950.0,Abbotsford,-37.74863,145.07202,Eastern Metropolitan,2890.0,627,1418.6851211072665
Heidelberg,100 Buckingham Dr,4,h,1430000.0,VB,Miles,8/07/2017,8.9,3084.0,4.0,2.0,3.0,680.0,159.0,1950.0,Abbotsford,-37.74605,145.08504,Eastern Metropolitan,2890.0,627,1704.410011918951
Heidelberg,32 Powlett St,3,h,1250000.0,S,Miles,12/08/2017,8.9,3084.0,3.0,1.0,0.0,668.0,159.0,1950.0,Abbotsford,-37.75212,145.05945,Eastern Metropolitan,2890.0,627,1511.4873035066505
Heidelberg,15 Adamson St,3,h,1515000.0,SP,Miles,22/07/2017,8.9,3084.0,3.0,1.0,3.0,827.0,109.0,1950.0,Abbotsford,-37.74776,145.06217,Eastern Metropolitan,2890.0,627,1618.5897435897436
Heidelberg,6 Clyde Ct,3,h,985000.0,S,Nelson,23/09/2017,8.9,3084.0,3.0,1.0,2.0,528.0,118.0,1955.0,Abbotsford,-37.74821,145.06933,Eastern Metropolitan,2890.0,627,1524.767801857585
Heidelberg Heights,97 Edwin St,2,h,815000.0,SP,Fletchers,3/09/2016,10.5,3081.0,2.0,1.0,2.0,589.0,120.0,1930.0,Abbotsford,-37.7501,145.0505,Eastern Metropolitan,2947.0,627,1149.50634696756
Heidelberg Heights,4 Collins St,3,h,720000.0,S,Barry,4/03/2017,10.5,3081.0,3.0,1.0,0.0,505.0,79.0,1955.0,Abbotsford,-37.7375,145.0555,Eastern Metropolitan,2947.0,627,1232.876712328767
Heidelberg Heights,75 Haig St,4,h,1370000.0,S,Miles,4/03/2017,10.5,3081.0,4.0,2.0,4.0,481.0,79.0,1955.0,Abbotsford,-37.746,145.0511,Eastern Metropolitan,2947.0,627,2446.4285714285716
Heidelberg Heights,1/40 St Hellier St,2,h,757000.0,S,Jellis,4/03/2017,10.5,3081.0,2.0,2.0,2.0,275.0,84.0,1992.0,Abbotsford,-37.7494,145.0538,Eastern Metropolitan,2947.0,627,2108.635097493036
Heidelberg Heights,2/96 Porter Rd,3,h,740600.0,S,Nelson,4/06/2016,10.5,3081.0,3.0,2.0,2.0,337.0,95.0,1950.0,Abbotsford,-37.7375,145.0586,Eastern Metropolitan,2947.0,627,1714.351851851852
Heidelberg Heights,59 Southern Rd,3,h,580000.0,VB,Miles,4/06/2016,10.5,3081.0,2.0,1.0,1.0,577.0,90.0,1955.0,Abbotsford,-37.7428,145.0532,Eastern Metropolitan,2947.0,627,869.5652173913044
Heidelberg Heights,78 Edwin St,5,h,1587500.0,S,Miles,6/08/2016,10.5,3081.0,4.0,5.0,2.0,599.0,172.0,2013.0,Abbotsford,-37.7521,145.0505,Eastern Metropolitan,2947.0,627,2059.0142671854733
Heidelberg Heights,36 Southern Rd,4,h,758500.0,S,hockingstuart,10/09/2016,10.5,3081.0,2.0,2.0,3.0,510.0,79.0,1955.0,Abbotsford,-37.7427,145.0547,Eastern Metropolitan,2947.0,627,1287.7758913412563
Heidelberg Heights,2 Bonar St,3,h,994000.0,S,Love,10/12/2016,10.5,3081.0,3.0,2.0,2.0,807.0,192.0,1950.0,Abbotsford,-37.7453,145.0559,Eastern Metropolitan,2947.0,627,994.994994994995
Heidelberg Heights,16 Eden St,3,h,725000.0,SP,Barry,10/12/2016,10.5,3081.0,3.0,2.0,1.0,665.0,115.0,1950.0,Abbotsford,-37.7505,145.0477,Eastern Metropolitan,2947.0,627,929.4871794871794
Heidelberg Heights,7 Flinders St,2,h,725000.0,S,Haughton,10/12/2016,10.5,3081.0,2.0,1.0,3.0,577.0,90.0,1955.0,Abbotsford,-37.7368,145.0524,Eastern Metropolitan,2947.0,627,1086.9565217391305
Heidelberg Heights,4 Milton Ct,3,h,743000.0,S,Barry,10/12/2016,10.5,3081.0,3.0,1.0,0.0,673.0,115.0,1950.0,Abbotsford,-37.7428,145.0494,Eastern Metropolitan,2947.0,627,942.8934010152284
Heidelberg Heights,14 Sackville St,3,h,785000.0,S,Barry,10/12/2016,10.5,3081.0,3.0,1.0,0.0,592.0,130.0,1950.0,Abbotsford,-37.7477,145.0481,Eastern Metropolitan,2947.0,627,1087.2576177285318
Heidelberg Heights,542 Waterdale Rd,2,h,700000.0,VB,hockingstuart,10/12/2016,10.5,3081.0,3.0,2.0,1.0,608.0,78.0,1950.0,Abbotsford,-37.7376,145.0488,Eastern Metropolitan,2947.0,627,1020.4081632653061
Heidelberg Heights,18 Shelley St,2,h,584000.0,S,Ray,12/06/2016,10.5,3081.0,2.0,1.0,1.0,428.0,84.0,1950.0,Abbotsford,-37.7418,145.0513,Eastern Metropolitan,2947.0,627,1140.625
Heidelberg Heights,5 Burns Ct,3,h,909000.0,S,William,12/11/2016,10.5,3081.0,3.0,2.0,2.0,585.0,134.0,1960.0,Abbotsford,-37.7358,145.0546,Eastern Metropolitan,2947.0,627,1264.2559109874826
Heidelberg Heights,15 Outhwaite Rd,4,h,1086000.0,S,Miles,12/11/2016,10.5,3081.0,4.0,2.0,2.0,724.0,161.0,1960.0,Abbotsford,-37.7404,145.0582,Eastern Metropolitan,2947.0,627,1227.1186440677966
Heidelberg Heights,33 Shakespeare Gr,2,h,680000.0,S,Fletchers,12/11/2016,10.5,3081.0,2.0,1.0,1.0,605.0,78.0,1950.0,Abbotsford,-37.7365,145.0545,Eastern Metropolitan,2947.0,627,995.6076134699854
Heidelberg Heights,19 Collins St,2,h,650000.0,S,Haughton,16/04/2016,10.5,3081.0,2.0,1.0,3.0,620.0,85.0,1950.0,Abbotsford,-37.7377,145.0541,Eastern Metropolitan,2947.0,627,921.9858156028369
Heidelberg Heights,8 Leonard St,5,h,890000.0,S,hockingstuart,16/04/2016,10.5,3081.0,5.0,2.0,2.0,596.0,172.0,1972.0,Abbotsford,-37.7487,145.0522,Eastern Metropolitan,2947.0,627,1158.8541666666667
Heidelberg Heights,82 Southern Rd,3,h,650000.0,S,Miles,16/04/2016,10.5,3081.0,3.0,1.0,2.0,582.0,90.0,1955.0,Abbotsford,-37.7422,145.05,Eastern Metropolitan,2947.0,627,967.2619047619048
Heidelberg Heights,12 Burns Ct,3,h,659500.0,SP,Miles,17/09/2016,10.5,3081.0,3.0,1.0,1.0,608.0,78.0,1950.0,Abbotsford,-37.7361,145.0551,Eastern Metropolitan,2947.0,627,961.3702623906705
Heidelberg Heights,68 Bamfield Rd,3,h,725000.0,S,Haughton,19/11/2016,10.5,3081.0,3.0,1.0,2.0,580.0,90.0,1955.0,Abbotsford,-37.738,145.0563,Eastern Metropolitan,2947.0,627,1082.089552238806
